User;Badge
65257;Autobiographer
65215;Scholar
65513;Supporter
65234;Autobiographer
65234;Supporter
65228;Supporter
67241;Scholar
65225;Autobiographer
51955;Student
51955;Editor
51955;Scholar
39136;Student
56746;Editor
65214;Informed
65211;Autobiographer
63540;Student
65207;Informed
65207;Editor
65206;Autobiographer
65201;Autobiographer
65198;Editor
65191;Autobiographer
65184;Informed
65184;Scholar
65184;Student
65183;Autobiographer
65176;Autobiographer
65176;Supporter
65175;Autobiographer
16242;Autobiographer
32397;Autobiographer
65169;Autobiographer
65143;Scholar
65143;Student
65168;Autobiographer
65162;Autobiographer
36043;Scholar
36043;Student
65148;Autobiographer
65148;Supporter
24782;Supporter
25903;Supporter
64567;Scholar
64567;Editor
64567;Tumbleweed
65126;Autobiographer
48671;Editor
64994;Informed
64994;Autobiographer
47440;Scholar
47440;Peer Pressure
65111;Teacher
65075;Editor
65105;Autobiographer
65105;Editor
65105;Custodian
65105;Tumbleweed
65087;Autobiographer
65085;Editor
65085;Student
65085;Custodian
47750;Tumbleweed
47750;Popular Question
65067;Informed
37577;Autobiographer
37577;Supporter
65064;Autobiographer
65022;Scholar
64999;Teacher
65052;Informed
64956;Supporter
64956;Editor
64956;Scholar
65043;Autobiographer
64720;Tumbleweed
65009;Autobiographer
65009;Supporter
15531;Editor
65003;Informed
12225;Popular Question
64947;Editor
64984;Informed
64984;Scholar
64978;Autobiographer
64977;Autobiographer
64976;Autobiographer
64976;Commentator
64976;Editor
64976;Teacher
64976;Supporter
64964;Autobiographer
64964;Student
64964;Scholar
64965;Autobiographer
64959;Autobiographer
64953;Teacher
64953;Supporter
64949;Informed
64944;Autobiographer
64944;Scholar
64944;Supporter
64808;Scholar
64940;Autobiographer
64940;Citizen Patrol
64472;Tumbleweed
64793;Scholar
64793;Editor
64923;Autobiographer
64923;Editor
64848;Informed
64848;Autobiographer
25613;Autobiographer
64885;Autobiographer
64885;Editor
65241;Autobiographer
64134;Tumbleweed
64134;Student
64134;Scholar
64134;Editor
64578;Tumbleweed
64578;Scholar
64578;Student
64879;Autobiographer
64875;Student
64875;Editor
19322;Student
19322;Popular Question
64873;Autobiographer
64873;Supporter
64867;Autobiographer
64863;Informed
64859;Autobiographer
64857;Autobiographer
65102;Autobiographer
64618;Scholar
64618;Student
64618;Editor
64618;Commentator
64618;Autobiographer
64618;Tumbleweed
64849;Autobiographer
64845;Autobiographer
64838;Editor
64830;Informed
64826;Student
64822;Informed
64822;Scholar
64818;Autobiographer
64818;Editor
64818;Tumbleweed
64780;Editor
64794;Scholar
64795;Informed
64493;Tumbleweed
63912;Autobiographer
64788;Autobiographer
64787;Editor
64787;Informed
64787;Tumbleweed
64782;Autobiographer
64479;Tumbleweed
64478;Tumbleweed
64775;Student
64770;Autobiographer
49482;Autobiographer
68260;Teacher
64749;Editor
64749;Autobiographer
64456;Tumbleweed
54191;Popular Question
64748;Autobiographer
64748;Supporter
41527;Supporter
64742;Autobiographer
64742;Scholar
64742;Supporter
64742;Student
64730;Student
64730;Teacher
64732;Autobiographer
64732;Editor
64727;Autobiographer
64717;Editor
64712;Informed
64706;Autobiographer
64702;Autobiographer
64702;Informed
64689;Autobiographer
64689;Scholar
64676;Autobiographer
63484;Tumbleweed
64668;Autobiographer
64668;Editor
64668;Tumbleweed
64665;Editor
64665;Commentator
64665;Scholar
64665;Custodian
64660;Editor
64660;Autobiographer
64661;Autobiographer
57626;Editor
57126;Autobiographer
64645;Editor
20453;Teacher
64636;Autobiographer
64611;Autobiographer
64606;Informed
64606;Autobiographer
64605;Autobiographer
64605;Supporter
64602;Autobiographer
29228;Popular Question
64252;Tumbleweed
64592;Autobiographer
64592;Supporter
64592;Tumbleweed
64592;Editor
63968;Editor
64580;Autobiographer
64284;Tumbleweed
64570;Autobiographer
65427;Tumbleweed
47962;Editor
47962;Teacher
47962;Supporter
47962;Commentator
47962;Peer Pressure
47962;Tenacious
47962;Yearling
64548;Teacher
64234;Tumbleweed
64553;Editor
64536;Editor
64536;Scholar
64536;Student
64536;Supporter
57461;Autobiographer
64526;Autobiographer
64522;Autobiographer
64522;Supporter
64515;Informed
54574;Autobiographer
60767;Supporter
60767;Scholar
60767;Teacher
60767;Editor
60767;Student
64474;Student
47590;Student
47590;Popular Question
64488;Autobiographer
64488;Student
64488;Scholar
64488;Supporter
63232;Editor
64378;Scholar
57524;Scholar
57524;Supporter
40740;Tumbleweed
64460;Student
64460;Supporter
10907;Editor
10907;Scholar
10907;Student
64455;Autobiographer
59816;Autobiographer
63843;Autobiographer
64446;Student
64156;Scholar
64439;Autobiographer
64429;Autobiographer
64429;Editor
54247;Editor
64419;Autobiographer
64419;Scholar
64419;Editor
64411;Supporter
64407;Autobiographer
36494;Editor
36494;Scholar
64403;Autobiographer
64403;Supporter
64403;Editor
64403;Excavator
64400;Autobiographer
64392;Informed
64392;Scholar
39083;Popular Question
64370;Autobiographer
64370;Editor
60560;Supporter
67581;Student
64365;Autobiographer
64365;Student
64350;Supporter
64350;Scholar
64324;Editor
51457;Autobiographer
64331;Autobiographer
64331;Supporter
63935;Citizen Patrol
63935;Supporter
64319;Autobiographer
64319;Supporter
62666;Autobiographer
32637;Peer Pressure
64316;Supporter
64316;Teacher
64188;Autobiographer
64188;Citizen Patrol
64188;Editor
63831;Tumbleweed
63831;Scholar
63831;Commentator
63976;Tumbleweed
59072;Scholar
62451;Tumbleweed
64297;Autobiographer
64293;Autobiographer
64292;Autobiographer
64292;Scholar
64292;Supporter
64285;Editor
43849;Autobiographer
64277;Autobiographer
64271;Informed
36208;Autobiographer
64266;Autobiographer
64265;Informed
54604;Tumbleweed
64255;Editor
64255;Scholar
64253;Informed
64248;Autobiographer
64184;Scholar
64184;Student
64202;Editor
64230;Autobiographer
64215;Scholar
64220;Autobiographer
64205;Informed
58147;Student
58147;Commentator
58147;Autobiographer
64204;Autobiographer
64179;Student
64179;Commentator
63877;Tumbleweed
35025;Tumbleweed
64182;Student
64162;Editor
64180;Autobiographer
64175;Supporter
64172;Autobiographer
64167;Autobiographer
64151;Informed
11159;Autobiographer
64147;Autobiographer
64146;Autobiographer
64146;Citizen Patrol
64142;Supporter
64142;Autobiographer
64140;Autobiographer
64136;Autobiographer
45192;Teacher
64131;Autobiographer
64131;Student
64131;Scholar
64131;Supporter
64126;Student
64126;Scholar
64109;Editor
63772;Tumbleweed
64101;Informed
64101;Autobiographer
64100;Supporter
64099;Editor
64098;Autobiographer
63246;Scholar
64093;Autobiographer
64093;Editor
64078;Informed
64078;Autobiographer
64075;Autobiographer
64067;Informed
64067;Editor
62631;Teacher
62631;Editor
62631;Supporter
64031;Informed
64030;Informed
64030;Editor
58643;Tumbleweed
64026;Autobiographer
64025;Autobiographer
64746;Autobiographer
64746;Editor
64020;Autobiographer
45134;Peer Pressure
64016;Autobiographer
64013;Supporter
44876;Peer Pressure
63998;Informed
63994;Autobiographer
63985;Autobiographer
